EventId,EventTemplate,Occurrences
24ef9a76,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token = Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn = false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
bc3c2db6,Pid: <*> MediaPlayer destructor,1
a4e9f81f,"[HSM] stayAwake false uid: <*>, pid: <*>",1
504c331a,abandonAudioFocus,1
13d3f523,unregisterAudioFocusListener...,1
223b4429,Unable to start service Intent { act = <*> cmp = <*><*>.<*> } U = <*>: not found,1
6aeab041,Killing <*>: <*><*> (adj <*>): empty for 1810s,1
eadc277d,getMode...,1
ce34163a,isBluetoothScoOn...,1
219ced65,isBluetoothA2dpOn...,1
9e34a535,setWiredDeviceConnectionState type: <*> state: <*>,1
24b39c4c,setWiredDeviceConnectionState type: -<*> state: <*>,1
f4b5cb98,"Start dump, calling from : pid = <*>, uid = <*>",1
72c1c362,*** unregister callback for <*>@<*>,1
154bee9a,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg = <*> cmp = <*>/.ui.LauncherUI (has extras) },1
c5be93aa,START u0 {act = <*> flg = <*> cmp = <*>/.activity.SplashActivity (has extras)} from uid <*> on display <*>,1
a8033340,[PhoneIntfMgr] getDataEnabled: subId = <*> retVal = true,1
53341d0c,[PhoneIntfMgr] getDataEnabled: subId = <*> phoneId = <*>,1
3ad5a38d,*** unregister callback for null,1
171261c2,*** register callback for <*>@<*>,1
6ed37c98,isSimPinSecure mSimDatas is null or empty,1
263f405d,onTrackingStopped: true,1
8fd1247f,Process <*>: qzone (pid <*>) has died,1
bd3b58c3,"state.clipTopAmount: -<*>, i: <*>",1
d8cb5b06,Scheduling restart of crashed service <*><*>.<*> in 1000ms,1
a6a7c4aa,Start proc <*>: <*>: qzone<*> for service <*><*>.<*>,1
d77010ae,START u0 {flg = <*> cmp = <*>/.ui.LauncherUI (has extras)} from uid <*> on display <*>,1
c695a603,enqueueNotificationInternal: pkg = <*> id = <*> notification = Notification(pri = <*> contentView = null vibrate = [] sound = null tick defaults = <*> flags = <*> color = <*> category = msg vis = PRIVATE),1
e23c2601,handleBatteryUpdate,1
eb3415bd,ChargingSpeed Wattage: -<*> ST: <*> --> <*>,1
f360e1f9,battery changed pluggedType: <*>,1
01334395,DefaultState what = <*>,1
7465dea5,ApStaDisabledState what = <*>,1
5185f06d,ACTION_BATTERY_CHANGED pluggedType: <*>,1
07a6efda,"onReceive, action: <*>",1
4b6c38c8,updateChargingLocked: charging = false,1
f1cf316c,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
fd9efe18,"updateIsPoweredLocked: wasPowered = false, mIsPowered = false, oldPlugType = <*>, mPlugType = <*>, mBatteryLevel = <*>",1
fdd7deac,getStreamVolume treamType: <*>,1
0c87ac07,"setDataSource(<*>, <*>, <*>)",1
d639dd08,isWiredHeadsetOn...,1
f109b8b4,getCellLocation is blocked by permission manager uid: <*> pid: <*>,1
6ff1e1fb,"START u0 {act = <*> cat = [<*>] flg = <*> cmp = <*>/.activity.SplashActivity bnds = [<*>, <*>][<*>, <*>]} from uid <*> on display <*>",1
5c10bbdf,"Application requested orientation -<*>, got rotation <*> which has compatible metrics",1
d7f9a405,"rotationForOrientationLw(orient = -<*>, last = <*>); user = <*> USER_ROTATION_LOCKED",1
248dac1b,"START u0 {act = <*> cat = [<*>] flg = <*> cmp = <*>/.NotePadActivity bnds = [<*>, <*>][<*>, <*>]} from uid <*> on display <*>",1
