LineId,Time,Level,Content,EventId,EventTemplate
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 10,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 8,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 6,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,a54f5ca4,mod_jk child workerEnv in error state <*>
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 10,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 7,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found (CHILD) in scoreboard slot 9,364bf718,jk2_init() Found (CHILD) in scoreboard slot <*>
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,e3dc5d82,workerEnv.init() ok /etc/httpd/conf/workers2.properties
