EventId,EventTemplate,Occurrences
6f03bba3,<*> Starting thread to transfer block (BLK) to <*>,1
a774c627,BLOCK* ask <*> to replicate (BLK) to datanode(s) <*>,1
2d2007ec,Received block (BLK) src: /<*> dest: /<*> of size <*>,2
05548bb3,BLOCK* ask <*> to delete (BLK) <*>,5
8f24aa61,Verification succeeded for (BLK),20
22b1b517,<*> Served block (BLK) to /<*>,80
3382c08e,<*>:Got exception while serving (BLK) to /<*>:,80
238ee888,BLOCK* NameSystem.allocateBlock: <*> (BLK),115
a951eedf,BLOCK* NameSystem.delete: (BLK) is added to invalidSet of <*>,224
c83fddbf,Deleting block (BLK) file <*>,263
5a79c3d2,Received block (BLK) of size <*> from /<*>,292
c7f6d11b,Receiving block (BLK) src: /<*> dest: /<*>,292
d3976bf5,PacketResponder <*> for block (BLK) terminating,311
cabda363,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to (BLK) size <*>,314
