EventId,EventTemplate,Occurrences
60f8b5ac,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is <*> oldDay is <*>",1
91d90b03,uploadStaticsToDB failed message = true,1
ea676e32,uploadStaticsToDB() onResult type = <*> obj = true,1
5e8d52d4,InsertCallBack() onSuccess type = <*> data = true,1
514abfb6,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",1
f2c272f1,InsertEvent success begin : <*> end : <*>,1
20231c2f,setWriteDBLastDataMinute = <*>,1
042d7a7a,setWriteDBLastDataMinute success,1
b3d6ad7f,flush2DB result success,1
057ae03f,theDayChanged <*>,1
e788f919,initEnviroument,1
3244bf49,getStepCounterStatus,1
c00a6568,getStepCounterStatus = true,1
86bcfaea,reStartStepCounter,1
d35dfbbc,registersensorsuccess : true,1
c5a628cf,deleteHealthNotification(),1
3616b800,clear(),1
d732e02a,Alarm uploadStaticsToDB totalSteps = 7163Calories : 153367Floor : 240Distance : <*>,1
0635a938,flushTempCacheToDB by stand,1
ffb006b5,"screen status unknown,think screen on",1
03a21551,isScreenOn true,1
00d03c97,tryToRecordAsBasicStepData bWrite true,1
71ed08df,setBasicStandardSteps basicStandardStep = <*> restartSteps = <*>,1
8223c98a,setDiffTotalSteps = <*>,1
71ffe66c,tryToReloadTodayBasicSteps1514044800223|3786|0|0,1
00dbbc8e,reload : <*> restar <*>,1
2b7e106f,next day : steps0mLastReport7214,1
0d02a5eb,setGoalNotifiShownRecord <*> false,1
8e523808,closeNotification...,1
3b251b90,writeDataToDB size <*>,1
59c10946,getTodayBasicStandardSteps = <*>,2
c296f55b,getDiffTotalSteps = <*>,2
dbdd9143,"checkFirstSyncByType no such data in db ,type is <*> deviceCode is <*>",2
cdb47d81,"startInsertSportSync first <*> steps sync,do all sync",2
6dc024e2,"stepSyncOrNot appSynTimes is 0, statsyncTimes is <*>",2
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",2
7b52b221,insertHiHealthData() checkAppType <*> appID = <*>,2
c48c2182,"insertHiHealthData() size = <*> = 1,One Data Type = <*> = com.huawei.health,writeStatType = <*>",2
28a4a0c6,"saveHealthDetailData() deviceID = 2,clientID = 1,id = <*>",2
9b2e9261,"startInsertSportSync start auto sync,app is <*>",2
9ef024f5,"saveHealthDetailData() saveOneDetailData fail hiHealthData = 1513958400000,type = <*>",2
034409f5,insertHiHealthData() end totalTime = <*>,2
960958ed,startListenerChange subscribeList = [1],2
71d384b3,stepSyncOrNot appSynTimes is <*>,3
3ba40b70,startTimer start autoSync,3
b6e99849,<*> size = <*> = <*>,3
3fc423d9,"saveStatData() type = <*> = 1513958400000,statClient = 2,who is <*>",4
c0df8ce6,checkInsertStatus <*> or <*> is enough,4
258ac68e,upLoadOneMinuteDataToEngine time = <*>,5
9c3d98b2,"timeStamp back,extendReportTimeStamp = <*>",5
3f9b4da2,ifCanSync not! no cloud version,5
1d4b8a6f,initUserPrivacy the userPrivacy is true,5
38085a58,initDataPrivacy the dataPrivacy is true,5
6e805a4c,needAutoSync autoSyncSwitch is open,5
b7332676,"startSync hiSyncOption = HiSyncOption{syncAction = <*> syncMethod = 2, syncScope = 0, syncDataType = 20000, syncModel = 2, pushAction = 0},app = <*> who = <*>",5
8764d489,sendSyncFailedBroadcast,5
80fd1c95,getTodaySportData mStepsRecordManager = com.huawei.health.g.c@8a2a501,6
5fed72bf,getBinderPackageName packageName = com.huawei.health,8
959470fb,"<*> the <*> switch is open, start push <*> data!",10
b8f897f8,flush sensor data,17
c5593f5d,"new date = 20171223, type = <*> = <*>",17
f5ead346,onReceive action : android.intent.action.SCREEN_OFF,17
540da372,<*> action : android.intent.action.SCREEN_ON,34
5cdf7db4,REPORT : <*> <*> <*> <*>,136
5ca84249,processHandleBroadcastAction action : android.intent.action.TIME_TICK,144
3e84d313,calculateAltitudeWithCache totalAltitude = <*>,241
64a19b89,calculateCaloriesWithCache totalCalories = <*>,241
1dc55c4c,setTodayTotalDetailSteps = <*>,241
e0a83abb,getTodayTotalDetailSteps = <*>,242
93067dc4,onStandStepChanged <*>,260
d9d4b084,onExtend : <*> <*> <*> <*>,273
