EventId,EventTemplate,Occurrences
3c5e98a7,Security Scaffold v1.0.0 initialized,1
627093ba,mtrr: v2.0 ( <*> ),1
0f556ff9,PCI: Using configuration type <*>,1
b823de65,"PCI: PCI BIOS revision <*> entry at 0xfc0ce, last bus = <*>",1
4af88f8f,NET: Registered protocol family <*>,1
60696e47,POSIX conformance testing by UNIFIX,1
80734f26,Initializing random number generator: succeeded,1
0dfe904f,Checking 'hlt' instruction... OK.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
1ee2f7d8,ACPI: Subsystem revision <*>,1
9dd9f043,CPU: Intel Pentium III ( Coppermine ) stepping <*>,1
53650236,Intel machine check architecture supported.,1
d678ffa6,CPU: L2 cache: 256K,1
97d5ba9f,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
5e3b82c3,"Dentry cache hash table entries: <*> ( order: 4, <*> bytes )",1
48a493b0,Capability LSM initialized,1
41ffccb1,selinux_register_security: Registering secondary module capability,1
a31006da,Failure registering capabilities with the kernel,1
e0661b3c,"There is already a security framework initialized, register_security failed.",1
426f668c,SELinux: Starting in permissive mode,1
67e6196c,Intel machine check reporting enabled on CPU#0.,1
cf383357,ACPI: Interpreter disabled.,1
3b95b63d,Linux Plug and Play Support v0.97 ( c ) Adam Belay,1
ee129c71,Starting pcmcia: succeeded,1
2e3d6c0c,isapnp: No Plug & Play device found,1
2bf1954b,isapnp: Scanning for PnP cards...,1
66c5c678,pci_hotplug: PCI Hot Plug PCI Core version: <*>,1
2b566107,Initializing Cryptographic API,1
6999d396,SELinux: Registering netfilter hooks,1
4d73c3e7,VFS: Disk quotas dquot_6.5.1,1
f3b4bfda,Bringing up loopback interface: succeeded,1
0906cb48,"Total HugeTLB memory allocated, <*>",1
db9d37a1,sdpd v1.5 started,1
a9d64ca2,Setting network parameters: succeeded,1
e75dd365,audit ( 1122475266.4294965305:0 ) : initialized,1
42e39163,HCI daemon ver <*> started,1
