EventId,EventTemplate,Occurrences
2bc6deed,Telling CSI to go low power.,1
3d5001c5,"hibernate_machine_init: state <*> , image pages <*> , sum was <*> , imageSize <*> , image1Size <*> , conflictCount <*> , nextFree <*>",1
160209d7,host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid <*> invalidated,1
debd10bc,Error in CoreDragRemoveReceiveHandler: <*>,1
98709a6a,Daemon connection invalidated!,1
dca7293c,"CCFile::copyFile fileName is [2017-07-05_11 , <*> , 39.743225]-CCIOReporter-001.xml , source path:/var/log/CoreCapture/<*>/OneStats//[2017-07-05_11 , <*> , 39.743225]-CCIOReporter-001.xml , dest path:/Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-05_11 , <*> , 38.739976]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-05_11 , <*> , 39.743225]-CCIOReporter-001.xml",1
5722d0e3,CCProfileMonitor::freeResources done,1
0412eafc,<IMMacNotificationCenterManager: 0x7fdcc9d16380>: notification observer: <*> notification: __CFNotification <*> {name = _NSDoNotDisturbEnabledNotification},1
82b9999e,2017-07-05 10:52:16.977 GoogleSoftwareUpdateAgent[35861/0x700000323000] [lvl=2] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,1
57b11816,2017-07-05 10:52:16.779 ksfetch[35863/0x7fff79824000] [lvl=2] main( ) Fetcher received a request: <NSMutableURLRequest: 0x100501610> { URL: https://<*>/service/update2?cup2hreq=a7873a51b1cb55518e420d20dff47d463781ed3f7aa83c3153129eefb148070b&cup2key=7:2501762722 },1
bcf94667,"<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: Updating enabled: YES ( Topics: ( ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" , ""<*>"" ) )",1
fb52c92e,vm_compressor_fastwake_warmup ( <*> - <*> ) - starting,1
b82084ac,Wake reason: EC.SleepTimer ( SleepTimer ),1
d32e1f22,Failed to stop a scan - central is not powered on: <*>,1
0ad2b6e5,[00:29:04.085] <<<< CRABS >>>> crabsWaitForLoad: [0x7fbc7ac683a0] Wait time out - <*> ( msRequestTimeout <*> ),1
b7e4d241,[00:28:42.167] ( Fig ) signalled err=-12871,1
3d88db85,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,1
2267459e,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,1
592af0db,hibernate_rebuild completed - took <*> msecs,1
743ea632,AppleActuatorDevice::stop Entered,1
f0a83c7f,FA||Url||taskID[2019353182] dealloc,1
fce92548,AppleActuatorDevice::start Entered,1
ecf18144,hibernate_page_list_setall time: <*> ms,1
de139fb1,hibernate_page_list_setall( preflight <*> ) start,1
8b9a9cdc,"Google Chrome He[36456] triggered unnest of range 0x7fff93c00000->0x7fff93e00000 of DYLD shared region in VM map 0x77c9114550458e7b. While not abnormal for debuggers , this increases system memory footprint until the target exits.",1
8eee9e4a,2017-07-06 00:30:37.064 ksfetch[36439/0x7fff79824000] [lvl=2] main( ) Fetcher is exiting.,1
7725026e,AppleActuatorDeviceUserClient::start Entered,1
a5f756d3,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,1
68e42f4b,FA||Url||taskID[2019353593] dealloc,1
c967316d,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,1
270ce03a,00:03:06.178 : Started generating hashes,1
d5dfa319,FA||Url||taskID[2019353117] dealloc,1
8e2f2a06,**** [BroadcomBluetoothHostController][SetupController] -- Delay HCI Reset by 300ms ****,1
1d58f2ea,"hostControllerOnline - Number of Paired devices = <*> , List of Paired devices = ( ""84-41-67-32-db-e1"" )",1
dce87623,"booter start at <*> ms smc <*> ms , [18 , <*> , 0] total <*> ms , dsply <*> , <*> ms , tramp <*> ms",1
d915a382,"arp_client_transmit( en0 ) failed , Network is down ( <*> )",1
8742ad47,<IMMacNotificationCenterManager: 0x7fdcc9d16380>: Updating enabled: NO ( Topics: ( ) ),1
34c0c1f6,"2017-07-05 16:18:06.450 GoogleSoftwareUpdateAgent[36128/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""https://<*>/service/update2?cup2hreq=ac844e04cbb398fcef4cf81b4ffc44a3ebc863e89d19c0b5d39d02d78d26675b&cup2key=7:677488741""",1
e5d5eae1,en0: manual intervention required!,1
de180f7f,2017-07-02 15:46:40.516 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher( PrivateMethods ) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>,1
0f9378a1,"2017-07-02 10:40:07.676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl=2] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""<*>"" using engine <KSUpdateEngine:0x100313e70 ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/<*>"" locked=NO > >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=( null ) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
681abeff,Invalidating watch set.,1
e49d1682,FA||Url||taskID[2019353519] dealloc,1
dbecceff,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen( ) outside of MTTrackpadHIDManager.,1
88e9e766,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.790 error <*>,1
1f8d0ffc,FA||Url||taskID[2019353410] dealloc,1
e7dc122f,"RTC: Maintenance 2017/7/3 21:47:58 , sleep 2017/7/3 21:35:20",1
fdb959f1,"CCFile::copyFile fileName is [2017-07-03_21 , <*> , 41.859869]-CCIOReporter-002.xml , source path:/var/log/CoreCapture/<*>/OneStats//[2017-07-03_21 , <*> , 41.859869]-CCIOReporter-002.xml , dest path:/Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-03_21 , <*> , 40.703152]=AuthFail:sts:5_rsn:0/OneStats//[2017-07-03_21 , <*> , 41.859869]-CCIOReporter-002.xml",1
dce510e0,FA||Url||taskID[2019353376] dealloc,1
8eb893b6,"CCFile::copyFile fileName is [2017-07-03_15 , <*> , 15.246620]-AirPortBrcm4360_Logs-007.txt , source path:/var/log/CoreCapture/<*>/DriverLogs//[2017-07-03_15 , <*> , 15.246620]-AirPortBrcm4360_Logs-007.txt , dest path:/Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-03_15 , <*> , 15.349129]=AuthFail:sts:5_rsn:0/DriverLogs//[2017-07-03_15 , <*> , 15.246620]-AirPortBrcm4360_Logs-007.txt",1
d37dd4e3,"CCLogTap::profileRemoved , Owner: <*> , Name: OneStats",1
1d22b554,2017-07-03 20:25:13.378 GoogleSoftwareUpdateAgent[33847/0x7000002a0000] [lvl=2] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket( s ): {( <KSTicket:0x10053b310 productID=<*> version=<*> xc=<KSPathExistenceChecker:0x10053ac30 path=/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle> url=https://<*>/service/update2 creationDate=2017-02-18 15:41:17 ticketVersion=1 > )} Using server: <KSOmahaServer:0x100248090 engine=<KSUpdateEngine:0x1007249c0> >,1
812f1769,<IMMacNotificationCenterManager: 0x7ff1b2e00ba0>: DND Enabled: YES,1
6ab921b2,( ImportBailout.Error:1331 ) Asked to exit for Diskarb,1
