EventId,EventTemplate,Occurrences
932c104e,"Registered signal handlers for [TERM, HUP, INT]",1
17f432d4,Trying to register BlockManager,1
03459f52,Server created on <*>,1
b6e6ed50,Starting executor ID <*> on host mesos-slave-07,1
5a5c5838,Successfully registered with driver,1
6bdfeddd,Connecting to driver: spark://CoarseGrainedScheduler@<*>:48069,1
f58da521,MemoryStore started with capacity <*> <*>,1
1c507e44,Registered BlockManager,1
27a2a4ad,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],1
e99571c6,Starting remoting,1
b923f8c3,Slf4jLogger started,1
9ffef012,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
f5a68e94,Successfully started service <*> on port <*>,2
67369d14,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set( yarn, curi ); users with modify permissions: Set( yarn, curi )",2
7bb9d001,"Changing <*> acls to: yarn,curi",4
3729a2cd,"<*> is deprecated. Instead, use <*>",5
24f60e3d,File Output Committer Algorithm version is <*>,30
9a5790d1,<*> Committed,30
e967b817,Saved output of task <*> to <*>,30
c0edc03b,Reading broadcast variable <*> took <*> ms,37
6c90e140,Started reading broadcast variable <*>,37
f1a8cca8,Input split: <*>,45
3d6e0eb0,"Partition <*> not found, computing it",75
9e1a0e45,"Block <*> stored as <*> in memory ( estimated size <*> <*>, free <*> <*> )",149
d7f24216,Found block <*> locally,257
85b85afe,Finished task <*> in stage <*> ( TID <*> ). <*> bytes result sent to driver,300
1eddf246,Running task <*> in stage <*> ( TID <*> ),305
9ba7fdc2,Got assigned task <*>,305
15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,375
