EventId,EventTemplate,Occurrences
29329e2b,"Device: /dev/sda, Temperature changed <*> Celsius to <*> Celsius since last report",1
f927eeab,Using software bounce buffering for IO (SWIOTLB),1
4d9c6c2f,Assuming 33MHz system bus speed for PIO modes; override with idebus = xx,1
ab589f67,"root = LABEL = / initrd = /x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console = tty0 console = ttyS0,19200 fastboot BOOT_IMAGE = /x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",1
fdb217dd,PCI Hot Plug PCI Core version: <*>,1
9c4b1097,"routing cache hash table of <*> buckets, 1024Kbytes",1
279d4fa2,Unknown cmd fd(5) cmd(80081272){00} arg(ffffda44) on /dev/sda,1
2affe436,"sys_ia32.c,v <*> 2002/03/24 13:02:28 ak Exp $",1
bfcd95ed,Installing public key data,1
b6d701a5,colour VGA+ 80x25,1
5b7e07cb,"md driver 0.90.0 MAX_MD_DEVS = 256, MD_SB_DISKS = <*>",1
f7c2cb75,Intel(R) Xeon(TM) CPU 3.60GHz stepping <*>,1
4e8904d6,fw version:[516A] bios version:[H418],1
54e256e6,Subsystem revision <*>,1
a72c01ef,RSDP (v000 DELL ) @ <*>,1
fd33feac,probe new device 0x1028:0x0013:0x1028:0x016c: bus 2:slot 14:func <*>,1
7a555835,Probing PCI hardware (bus 00),1
4fb9993c,Transparent bridge - 0000:00:1e.0,1
49054f89,Using MMCONFIG at <*>,1
415e7cee,Using configuration type <*>,1
16483862,no floppy controllers found,1
e594c23b,4.1.0-ioctl (2003-12-10) initialised: #36#@#37#,1
f36e8103,passed.,1
8bd4b5f8,initializing netlink socket (disabled),1
84d10a1e,initialized,1
728d4ef5,PE/PV Model: 1x2 SCSI BP Rev: <*>,1
2edd5195,MegaRAID Model: LD <*> RAID1 139G Rev: <*>,1
90d144b9,eth0: e1000_watchdog: NIC Link is Up <*> Mbps Full Duplex,1
13481907,Mounted root (ext2 filesystem).,1
1d7c8312,RNG not detected,1
55182f9d,Hash tables configured (established <*> bind 65536),1
25ea518d,Starting in permissive mode,1
3f023526,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,1
7f533fb9,Initializing.,1
b79ffc59,Disabled at runtime.,1
4211e0af,Compressed image found at block <*>,1
75765837,Disk quotas dquot_6.5.1,1
a2351676,PS/2 mouse device common for all mice,1
04ea23b0,Power Button (FF) [PWRF],1
491b5cf3,v2.0 (20020519),1
d5980a9c,PCI Root Bridge [PCI0] (00:00),1
