EventId,EventTemplate,Occurrences
6c29320c,"New election. My id = 1, proposed zxid=0x700000000 $",1
0f442cc0,autopurge.snapRetainCount set to <*> $,1
17762fc5,"Server environment : zookeeper.version=3.4.5--1, built on 06/10/2013 <*> : <*> GMT $",1
a8cc4b41,tickTime set to <*> $,1
4185859d,Unexpected Exception : $,1
5fe14ba8,Got user-level KeeperException when processing sessionid : 0x34ed93485090001 type : create cxid : <*> zxid : 0x100000010 txntype : <*> reqpath : n/a Error Path : /home/curi/.zookeeper Error : KeeperErrorCode = NodeExists for /home/curi/.zookeeper $,1
e3ad413b,My election bind port : <*><*> : <*> $,1
944dadad,Follower sid : <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4 $,1
c695306d,Starting quorum peer $,1
54715e96,Server environment : java.class.path=/etc/zookeeper/conf : /usr/share/java/jline.jar : /usr/share/java/log4j-1.2.jar : /usr/share/java/xercesImpl.jar : /usr/share/java/xmlParserAPIs.jar : /usr/share/java/netty.jar : /usr/share/java/slf4j-api.jar : /usr/share/java/slf4j-log4j12.jar : /usr/share/java/zookeeper.jar $,1
ddb082c9,Have quorum of supporters; starting up and setting last processed zxid : 0xb00000000 $,1
c3c18d2b,shutdown of request processor complete $,1
c1ff1f48,First is 0x0 $,1
cad9a7e1,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084 $,1
8ff1a8e5,Sending DIFF $,1
a9e71c73,maxSessionTimeout set to <*> $,1
980dd6b6,"Have smaller server identifier, so dropping the connection : (2, 1) $",1
c993d12c,Snapshotting : <*> to <*> $,2
ec562d3e,Server environment : java.vendor=Oracle Corporation $,2
1220d462,FOLLOWING - LEADER ELECTION TOOK - <*> $,2
9b47eaea,Getting a snapshot from leader $,2
79ba9e2d,FOLLOWING $,2
8fdaf69f,minSessionTimeout set to <*> $,2
c94bbd76,Client attempting to renew session <*> at <*> : <*> $,3
4e4ea3c1,autopurge.purgeInterval set to <*> $,3
df5a96f2,Revalidating client : <*> $,3
1f1f2ac5,Exception causing close of session 0x0 due to java.io.IOException : ZooKeeperServer not running $,3
5bd3c27c,Closed socket connection for client <*> : <*> (no session established for client) $,4
fdfd2e28,LOOKING $,4
f83ba0b9,Server environment : <*> $,7
30072636,"Notification : <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state) $",12
0ee980b3,Unexpected exception causing shutdown while sock still open $,12
006d2b2e,******* GOODBYE <*> : <*> ******** $,19
d857af93,caught end of stream exception $,37
c3b12c81,Notification time out : <*> $,37
67e4804d,Connection request from old client <*> : <*> will be dropped if server is in r-o mode $,39
fcf3de6c,Expiring session <*> timeout of <*> exceeded $,40
08054e62,Client attempting to establish new session at <*> : <*> $,41
6fbb408e,Closed socket connection for client <*> : <*> which had sessionid <*> $,44
375bec91,Processed session termination for sessionid : <*> $,47
0c0c3c1a,Accepted socket connection from <*> : <*> $,48
556c6ab9,Established session <*> with negotiated timeout <*> for client <*> : <*> $,50
132b4c5b,Cannot open channel to <*> at election address <*> : <*> $,86
dc11c6d6,Send worker leaving thread $,262
9789fcd3,Interrupting SendWorker $,266
1b0e529c,Connection broken for id <*> my id = <*> error = $,291
bc7db89b,Received connection request <*> : <*> $,299
a440f0f7,Interrupted while waiting for message on queue $,314
